track,tag,x,y,route,entry_utc_epoch,entry_time_pst,exit_utc_epoch,exit_time_pst,first_detection_utc_epoch,first_detection_time_pst
track-76BD,76BD,647386.311717848,4185727.17391381,no_exit,1521923079.993844,2018-03-24 12:24:40,,,1521923079.993844,2018-03-24 12:24:40
track-76CB,76CB,647392.843662001,4185743.33835293,San_Joaquin,1521432588.488019,2018-03-18 20:09:48,1521433787.5498042,2018-03-18 20:29:48,1521432588.488019,2018-03-18 20:09:48
track-76D3,76D3,647307.0533535329,4185795.83632196,San_Joaquin,,,1522371266.7734895,2018-03-29 16:54:27,1522371071.4258301,2018-03-29 16:51:11
track-76D9,76D9,647394.46400411,4185747.21636175,no_exit,,,,,1521731279.01603,2018-03-22 07:07:59
track-76DA,76DA,647415.2610393771,4185738.96045332,San_Joaquin,,,1522032171.7356453,2018-03-25 18:42:52,1522031690.21163,2018-03-25 18:34:50
track-76DB,76DB,647368.395705274,4185702.55028302,no_exit,,,,,1522079639.15084,2018-03-26 07:53:59
track-772A,772A,647301.441406379,4185890.70230032,San_Joaquin,,,1521965203.115421,2018-03-25 00:06:43,1521964808.48962,2018-03-25 00:00:08
track-7755,7755,647363.95308063,4185732.37118046,Head_of_Old_River,,,1522168812.4887414,2018-03-27 08:40:12,1522168450.57197,2018-03-27 08:34:11
track-775A,775A,647353.932209768,4185740.40845811,no_exit,,,,,1521947131.7928,2018-03-24 19:05:32
track-77A5,77A5,647377.045813414,4185706.47362337,San_Joaquin,,,1521741099.565436,2018-03-22 09:51:40,1521739803.3845198,2018-03-22 09:30:03
track-7895,7895,647399.938545175,4185740.28237206,Head_of_Old_River,,,1521376551.6830275,2018-03-18 04:35:52,1521375875.4492302,2018-03-18 04:24:35
track-78AB,78AB,647365.226483693,4185714.30766652,Head_of_Old_River,,,1521451451.544102,2018-03-19 01:24:12,1521450839.9900901,2018-03-19 01:14:00
track-78B5,78B5,647246.484658265,4185912.4204232,no_exit,,,,,1521950882.21593,2018-03-24 20:08:02
track-792B,792B,647416.10024743,4185740.21347027,San_Joaquin,1521899779.745128,2018-03-24 05:56:20,1521900495.3796875,2018-03-24 06:08:15,1521899779.745128,2018-03-24 05:56:20
track-794A,794A,647354.900598276,4185793.33495805,San_Joaquin,,,1522113189.9170606,2018-03-26 17:13:10,1522112868.19467,2018-03-26 17:07:48
track-794B,794B,647321.812752884,4185806.26795383,Head_of_Old_River,,,1521593040.3313086,2018-03-20 16:44:00,1521592821.5731199,2018-03-20 16:40:22
track-7954,7954,647338.9671787911,4185759.93255705,no_exit,,,,,1521975316.38395,2018-03-25 02:55:16
track-796D,796D,647392.48157676,4185719.71497103,Head_of_Old_River,1521928910.4914286,2018-03-24 14:01:50,1521929357.5378087,2018-03-24 14:09:18,1521928910.4914286,2018-03-24 14:01:50
track-7975,7975,647223.992488123,4185883.30157174,San_Joaquin,,,1522959124.8394842,2018-04-05 12:12:05,1522959097.88904,2018-04-05 12:11:38
track-79AB,79AB,647377.604059387,4185728.09014949,Head_of_Old_River,1521779855.7465336,2018-03-22 20:37:36,1521780452.6290498,2018-03-22 20:47:33,1521779855.7465336,2018-03-22 20:37:36
track-7A51,7A51,647358.039620097,4185733.17159829,San_Joaquin,1521743260.346057,2018-03-22 10:27:40,1521744472.5997007,2018-03-22 10:47:53,1521743260.346057,2018-03-22 10:27:40
track-7A52,7A52,647360.8168980629,4185766.17489076,San_Joaquin,,,1522018008.4949367,2018-03-25 14:46:48,1522017678.67609,2018-03-25 14:41:19
track-7A54,7A54,647369.851020269,4185774.59205941,San_Joaquin,,,1521351266.6471212,2018-03-17 21:34:27,1521350737.34512,2018-03-17 21:25:37
track-7A85,7A85,647360.291938001,4185750.99643722,San_Joaquin,,,1522105803.2823305,2018-03-26 15:10:03,1522105454.60036,2018-03-26 15:04:15
track-7A96,7A96,647374.41343669,4185696.72495782,San_Joaquin,1521309660.9191926,2018-03-17 10:01:01,1521311058.0052862,2018-03-17 10:24:18,1521309660.9191926,2018-03-17 10:01:01
track-7A99,7A99,647386.0962919879,4185725.03249674,Head_of_Old_River,1521705183.0662775,2018-03-21 23:53:03,1521705908.6161618,2018-03-22 00:05:09,1521705183.0662775,2018-03-21 23:53:03
track-7AAD,7AAD,647240.681298091,4185910.80183429,no_exit,,,,,1522240201.5832698,2018-03-28 04:30:02
track-7AB2,7AB2,647355.913244714,4185779.16948412,San_Joaquin,,,1521964962.3991992,2018-03-25 00:02:42,1521964031.31932,2018-03-24 23:47:11
track-7ACD,7ACD,647397.098563693,4185732.17976787,San_Joaquin,1521454141.2471793,2018-03-19 02:09:01,1521454689.0176606,2018-03-19 02:18:09,1521454141.2471793,2018-03-19 02:09:01
track-7ADB,7ADB,647383.884994649,4185713.15330909,San_Joaquin,1521306233.07399,2018-03-17 09:03:53,1521307165.0984368,2018-03-17 09:19:25,1521306233.07399,2018-03-17 09:03:53
track-7AE5,7AE5,647370.760183925,4185756.21659112,no_exit,,,,,1521281087.02264,2018-03-17 02:04:47
track-7AED,7AED,647329.324394744,4185770.1404164,no_exit,,,,,1521809637.72284,2018-03-23 04:53:58
track-7AF5,7AF5,647394.828503935,4185758.20035767,San_Joaquin,,,1521451750.1453025,2018-03-19 01:29:10,1521451209.1928804,2018-03-19 01:20:09
track-7B25,7B25,647363.300288102,4185708.46681965,no_exit,,,,,1522179335.9123,2018-03-27 11:35:36
track-7B49,7B49,647393.032142891,4185715.80366339,San_Joaquin,1521933253.2259893,2018-03-24 15:14:13,1521933760.9541845,2018-03-24 15:22:41,1521933253.2259893,2018-03-24 15:14:13
track-7B4B,7B4B,647392.3302565389,4185738.67643104,San_Joaquin,,,1522019221.878407,2018-03-25 15:07:02,1522018681.05226,2018-03-25 14:58:01
