index,dist,dn1,dn2,dnm,dt,head,id,speed,t1,t2,tm,u,v,x1,x2,xm,y1,y2,ym,z1,z2,zm,depth,i,us,vs,nsmooth,dt_smooth,time,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
30,3.5355339059327378,736778.6618055556,736778.6618055556,736778.6618055556,10.0,0.14189705460416396,7265,0.3535533905932738,1522018423.0,1522018433.0,1522018428.0,0.35,0.05,647237.6,647241.1,647239.35,4185952.1,4185952.6,4185952.35,2.5,5.0,3.75,2.3439,69467.0,0.10901860166773572,0.10774855676715844,6.0,151.0,2018-03-25 22:53:00.000000,0.13133454537619785,0.11246740445999827,0.0522499971803514,0.09241745254382606,0.005857628657914006,-0.0037623303336808203,-6.000311497370609,-1.560043655782256
31,8.06225774829855,736778.6618055556,736778.6625,736778.6621527778,31.0,-1.0516502125483738,7265,0.2600728305902758,1522018433.0,1522018464.0,1522018448.5,0.12903225806451613,-0.2258064516129032,647241.1,647245.1,647243.1,4185952.6,4185945.6,4185949.1,5.0,1.0,3.0,4.7854,70797.0,0.10910586860236217,0.0896822711614173,5.0,141.0,2018-03-25 22:53:30.000000,0.15655906964514893,0.09094882602784168,0.07315415604880138,0.14724348824968087,0.004106322812447768,0.00033464977489359657,-9.087288756934916,-1.5616142866701597
0,5.0,736772.625,736772.625,736772.625,5.0,2.4980915447965093,8292,1.0,1521496835.0,1521496840.0,1521496837.5,-0.8,0.6,647385.1,647381.1,647383.1,4185703.1,4185706.1,4185704.6,4.0,0.5,2.25,2.1336,111424.0,-0.6880597014925374,0.4365671641791045,5.0,30.0,2018-03-19 22:00:00.000000,-0.31885873449008934,-0.3798289718682681,0.3172374195010946,0.3906322714214952,-0.0043794825928356595,-0.0036683063137369493,-6.339242277695703,-2.4158733510746098
1,12.903487900563938,736772.625,736772.625,736772.625,15.0,2.521343167606972,8292,0.8602325267042626,1521496840.0,1521496855.0,1521496847.5,-0.7,0.5,647381.1,647370.6,647375.85,4185706.1,4185713.6,4185709.85,0.5,4.0,2.25,2.0635,112782.0,-0.6575107296137338,0.4399141630901287,6.0,35.0,2018-03-19 22:00:00.000000,-0.3253220760992113,-0.3917434380018031,0.3166487735813269,0.39555175462735587,-0.004146369909668851,-0.002519563248738435,-6.143196948894294,-2.4175364640745016
2,2.5,736772.625,736772.6256944444,736772.6253472222,5.0,3.1415926535897927,8292,0.5,1521496855.0,1521496860.0,1521496857.5,-0.5,0.0,647370.6,647368.1,647369.35,4185713.6,4185713.6,4185713.6,4.0,5.0,4.5,1.9842,114193.0,-0.6593085106382978,0.4255319148936171,7.0,40.0,2018-03-19 22:00:30.000000,-0.33202560816104537,-0.40488964601484023,0.31408251144505017,0.39696282511924974,-0.0038825457500346466,0.00013175717420853272,-6.114534699071115,-2.419181138555772
3,5.0,736772.6256944444,736772.6256944444,736772.6256944444,5.0,2.4980915447965093,8292,1.0,1521496860.0,1521496865.0,1521496862.5,-0.8,0.6,647368.1,647364.1,647366.1,4185713.6,4185716.6,4185715.1,5.0,3.5,4.25,2.728,111029.0,-0.6569444444444444,0.4166666666666667,8.0,45.0,2018-03-19 22:01:00.000000,-0.2949666829037734,-0.38689282613390585,0.28172619244489416,0.3799545507030106,-0.0027532234352654755,0.004503723987248173,-6.315326380707962,-2.4195592565563677
4,2.9154759474226504,736772.6256944444,736772.6256944444,736772.6256944444,5.0,2.1112158270654806,8292,0.5830951894845301,1521496865.0,1521496870.0,1521496867.5,-0.3,0.5,647364.1,647362.6,647363.35,4185716.6,4185719.1,4185717.85,3.5,5.0,4.25,2.5298,106334.0,-0.6457983193277311,0.3802521008403361,8.0,45.0,2018-03-19 22:01:00.000000,-0.29670616784809467,-0.39473056534708073,0.2874859760324136,0.38805152294470613,0.0006265337147270678,0.0035123647949048126,-6.341456,-2.419906994032012
5,4.609772228646444,736772.6256944444,736772.6256944444,736772.6256944444,5.0,2.922923707715851,8292,0.9219544457292888,1521496870.0,1521496875.0,1521496872.5,-0.9,0.2,647362.6,647358.1,647360.35,4185719.1,4185720.1,4185719.6,5.0,5.0,5.0,2.5298,106334.0,-0.6380952380952379,0.3380952380952381,8.0,35.0,2018-03-19 22:01:00.000000,-0.30736207144825856,-0.39540272336787835,0.2995098100683086,0.387734847714188,0.007933427210928101,0.0065514540245457525,-6.221425727404888,-2.4202215732939694
6,3.6055512754639887,736772.6256944444,736772.6256944444,736772.6256944444,5.0,2.5535900500422257,8292,0.7211102550927978,1521496875.0,1521496880.0,1521496877.5,-0.6,0.4,647358.1,647355.1,647356.6,4185720.1,4185722.1,4185721.1,5.0,4.5,4.75,2.3043,112864.0,-0.6285714285714286,0.32857142857142857,8.0,35.0,2018-03-19 22:01:00.000000,-0.3072704990920364,-0.3824576039261966,0.30059826897928377,0.37449511094900295,0.010581600121747095,0.01222192490360989,-6.072049065091608,-2.4205420913772953
7,3.6400549446402586,736772.6256944444,736772.6256944444,736772.6256944444,5.0,2.8632929945846817,8292,0.7280109889280518,1521496880.0,1521496885.0,1521496882.5,-0.7,0.2,647355.1,647351.6,647353.35,4185722.1,4185723.1,4185722.6,4.5,5.0,4.75,1.9873,110460.0,-0.5833333333333334,0.2785714285714286,8.0,35.0,2018-03-19 22:01:00.000000,-0.2926129885442783,-0.36720174500769026,0.28428663270507293,0.3578930256816769,0.008638239734739317,0.011215210940625636,-6.151152785359583,-2.420565066853609
