Fish,ID,Node_count,X,Y,Z,Sec,Error,dt,uSecs
174,768a,3,647222.1,4185858.1,4.5,1521835398,2.10E-05,3/23/2018 13:03,532014
174,768a,7,647222.1,4185863.6,2.5,1521835418,0.000575,3/23/2018 13:03,601182
174,768a,3,647223.6,4185870.1,5,1521835448,0.00015,3/23/2018 13:04,802532
174,768a,4,647221.1,4185871.6,0,1521835453,0.000822,3/23/2018 13:04,823880
174,768a,3,647225.1,4185871.1,0,1521835463,3.50E-05,3/23/2018 13:04,892414
174,768a,4,647225.6,4185867.1,3,1521835468,0.000131,3/23/2018 13:04,892246
174,768a,3,647193.6,4185786.6,1.5,1521835489,6.80E-05,3/23/2018 13:04,33307
174,768a,3,647226.1,4185881.6,1.5,1521835494,0.000164,3/23/2018 13:04,61677
174,768a,3,647223.1,4185879.6,4,1521835499,4.80E-05,3/23/2018 13:04,81934
174,768a,3,647225.1,4185882.1,0,1521835509,0.000184,3/23/2018 13:05,133304
174,768a,3,647228.1,4185882.1,4.5,1521835524,8.50E-05,3/23/2018 13:05,206524
174,768a,3,647222.1,4185881.6,1.5,1521835529,5.00E-06,3/23/2018 13:05,231486
174,768a,6,647223.1,4185882.1,2,1521835534,0.000242,3/23/2018 13:05,259396
174,768a,3,647224.6,4185883.1,4.5,1521835539,7.00E-06,3/23/2018 13:05,285267
174,768a,3,647219.1,4185884.1,0,1521835554,3.80E-05,3/23/2018 13:05,348965
174,768a,5,647212.6,4185886.1,3.5,1521835579,0.00012,3/23/2018 13:06,492363
174,768a,3,647209.6,4185886.1,5,1521835594,0.000113,3/23/2018 13:06,581536
174,768a,3,647211.1,4185885.6,2,1521835599,2.30E-05,3/23/2018 13:06,606590
174,768a,3,647211.1,4185885.6,1,1521835604,6.50E-05,3/23/2018 13:06,631231
174,768a,5,647212.1,4185885.1,3.5,1521835609,0.000202,3/23/2018 13:06,656684
174,768a,4,647212.6,4185884.6,3,1521835614,0.000529,3/23/2018 13:06,679799
174,768a,4,647212.1,4185884.6,1,1521835619,0.00039,3/23/2018 13:06,705347
174,768a,6,647212.1,4185883.6,4,1521835624,0.000213,3/23/2018 13:07,713009
174,768a,4,647211.6,4185883.6,5,1521835639,0.000275,3/23/2018 13:07,807134
174,768a,3,647211.6,4185885.6,3.5,1521835669,4.80E-05,3/23/2018 13:07,951579
174,768a,4,647211.6,4185885.6,0,1521835674,9.60E-05,3/23/2018 13:07,976605
174,768a,3,647212.6,4185886.1,4.5,1521835680,4.40E-05,3/23/2018 13:08,449
174,768a,6,647214.1,4185886.6,5,1521835685,0.001212,3/23/2018 13:08,26664
174,768a,3,647385.6,4185972.1,4,1521835690,1.20E-05,3/23/2018 13:08,57764
174,768a,6,647212.6,4185886.1,0,1521835700,0.000764,3/23/2018 13:08,103156
174,768a,5,647211.6,4185885.6,5,1521835710,0.000372,3/23/2018 13:08,151014
174,768a,3,647212.1,4185886.1,1,1521835720,9.00E-05,3/23/2018 13:08,198266
174,768a,4,647211.6,4185885.6,0,1521835725,0.000109,3/23/2018 13:08,221597
174,768a,6,647212.6,4185885.1,3,1521835730,0.000757,3/23/2018 13:08,244774
174,768a,5,647212.1,4185884.6,0,1521835740,0.000261,3/23/2018 13:09,287289
174,768a,3,647201.1,4185882.1,4,1521835745,1.00E-05,3/23/2018 13:09,310625
174,768a,3,647211.1,4185883.6,0,1521835755,8.20E-05,3/23/2018 13:09,363594
174,768a,3,647329.6,4185864.6,0.5,1521835765,1.40E-05,3/23/2018 13:09,428532
174,768a,3,647214.1,4185882.6,2,1521835775,0.000129,3/23/2018 13:09,463106
174,768a,4,647213.1,4185882.1,0,1521835780,0.000293,3/23/2018 13:09,485951
174,768a,4,647214.1,4185883.1,3.5,1521835790,0.000314,3/23/2018 13:09,534567
174,768a,5,647213.1,4185882.1,5,1521835795,0.000202,3/23/2018 13:09,560835
174,768a,6,647214.6,4185882.1,5,1521835800,0.001146,3/23/2018 13:10,590676
174,768a,4,647213.6,4185882.1,2.5,1521835805,0.000544,3/23/2018 13:10,618091
174,768a,4,647213.6,4185882.6,2,1521835815,0.000779,3/23/2018 13:10,665555
174,768a,4,647214.1,4185882.6,1.5,1521835820,0.000151,3/23/2018 13:10,696033
