x,y,d,z_bed,depth_bt,depth_m,u_avg,v_avg,u_surf,v_surf,tnum
647354.224100833,4185709.4106952655,16.46852276859391,4.145,4.145,4.135,-0.44502083621919136,0.4961635422737642,-0.5003333340088526,0.5638333360354105,1522951414.0
647354.6228955733,4185709.735992761,16.983164105154447,4.188333333333333,4.188333333333333,4.193333333333333,-0.439929166125754,0.4663541670267778,-0.48333332935969037,0.49033333857854206,1522951414.0
647355.0216903136,4185710.061290256,17.497805441510852,4.288333333333333,4.288333333333333,4.295,-0.47564999982714573,0.4477541670979306,-0.551499992609024,0.5066666702429453,1522951414.0
647355.4204850538,4185710.3865877516,18.01244677836573,4.338333333333334,4.338333333333334,4.315,-0.4799354148407772,0.4301937518796571,-0.5560000091791153,0.49800000588099164,1522951414.0
647355.8192797945,4185710.711885247,18.5270881151969,4.36,4.36,4.320000000000001,-0.47172083097199574,0.46158333495259246,-0.5153333395719528,0.5360000083843867,1522951414.0
647356.2180745349,4185711.0371827423,19.041729451937858,4.421666666666667,4.421666666666667,4.325,-0.47367395705853843,0.5208385413667804,-0.5821666667858759,0.5441666742165884,1522951414.0
647356.6168692753,4185711.3624802376,19.556370788678816,4.44,4.44,4.328333333333334,-0.4969812482595435,0.4764999987402302,-0.5398333370685577,0.5446666677792867,1522951414.0
647357.0156640158,4185711.687777732,20.071012125125435,4.456666666666666,4.456666666666666,4.374999999999999,-0.4881098039594354,0.4756000003393956,-0.5086666643619537,0.5013333360354105,1522951414.0
647357.4144587559,4185712.0130752274,20.58565346139164,4.47,4.47,4.406666666666667,-0.5036411756978308,0.48862941265106136,-0.48883333802223206,0.557166670759519,1522951414.0
647357.813253496,4185712.3383727223,21.100294797567628,4.465,4.465,4.463333333333333,-0.5552520838255686,0.5294854153878981,-0.5601666619380316,0.6018333385388056,1522951414.0
647358.2120482362,4185712.663670218,21.61493613403795,4.473333333333334,4.473333333333334,4.489999999999999,-0.5511291660368441,0.5204833326550822,-0.5994999955097834,0.5538333356380463,1522951414.0
647358.6108429763,4185712.988967713,22.12957747059849,4.493333333333333,4.493333333333333,4.543333333333334,-0.5542604142799965,0.51325833434239,-0.6330000013113022,0.5206666688124338,1522951414.0
647359.0096377166,4185713.314265208,22.644218807249242,4.528333333333333,4.528333333333333,4.541666666666666,-0.5552411747913732,0.5274411756326164,-0.639000008503596,0.5651666671037674,1522951414.0
647359.4084324568,4185713.6395627037,23.158860143899986,4.553333333333333,4.553333333333333,4.548333333333333,-0.5472607847814466,0.5446450946377774,-0.5700000077486038,0.5614999979734421,1522951414.0
647359.8072271972,4185713.9648601986,23.673501480346605,4.548333333333333,4.548333333333333,4.505,-0.5853812502386665,0.560235417447984,-0.5918333331743876,0.6206666727860769,1522951414.0
647360.2060219375,4185714.290157694,24.188142816907142,4.568333333333333,4.568333333333333,4.53,-0.5769749999667196,0.5532250010098012,-0.5941666662693024,0.6273333330949148,1522951414.0
647360.6048166779,4185714.6154551883,24.70278415326355,4.571666666666666,4.571666666666666,4.526666666666666,-0.588092158413401,0.5557627468132498,-0.6283333202203115,0.5775000005960464,1522951414.0
647361.0036114181,4185714.9407526846,25.217425489824084,4.551666666666667,4.551666666666667,4.528333333333333,-0.5699666682411636,0.5790196083924339,-0.5444999933242798,0.6258333325386047,1522951414.0
647361.4024061584,4185715.266050179,25.732066826474835,4.581666666666667,4.581666666666667,4.593333333333334,-0.5492647050642488,0.5470392151790503,-0.649166668454806,0.656166672706604,1522951414.0
