tag,epo,TagID_Hex,release
7D56,1521949779,7D56,lower
7D57,1522084338,7D57,lower
7D59,1521967753,7D59,lower
7D5A,1521983258,7D5A,upper
7D5B,1523137055,7D5B,upper
7D65,1521931473,7D65,lower
7D6A,1521467129,7D6A,upper
7D75,1522346201,7D75,upper
7D95,1522258768,7D95,lower
7DA5,1522778371,7DA5,lower
7DAB,1522253984,7DAB,lower
7DAD,1521195032,7DAD,upper
7DB5,1521019936,7DB5,upper
7DD5,1521438968,7DD5,lower
7E55,1521381385,7E55,upper
7E95,1521930994,7E95,upper
7EA9,1521611050,7EA9,lower
7EAA,1521930826,7EAA,lower
7EAB,1521380344,7EAB,upper
7EB5,1521466536,7EB5,lower
80AA,1521598453,80AA,lower
812A,1523298571,812A,upper
8154,1521606145,8154,upper
815A,1522511325,815A,lower
822A,1522313451,822A,upper
8252,1522880066,8252,lower
8255,1521936670,8255,lower
826A,1521936474,826A,lower
8292,1521496720,8292,lower
8294,1521930437,8294,lower
82A4,1521955129,82A4,upper
82AB,1521995354,82AB,lower
82AE,1521269659,82AE,lower
82BA,1521940842,82BA,lower
82D2,1522024638,82D2,lower
82D5,1521912235,82D5,lower
832A,1521279873,832A,lower
834A,1522059372,834A,upper
8356,1522109525,8356,lower
836A,1521274821,836A,lower
83AA,1521369100,83AA,upper
844A,1522052475,844A,lower
