x,y,d,z_bed,depth_bt,depth_m,u_avg,v_avg,u_surf,v_surf,tnum,x_m,y_m,tnum_m,time_m,model_u,model_u_surf,model_v,model_v_surf,model_vor,model_vor_surf,model_z_bed,model_z_eta
647410.0325669228,4185674.12792319,35.140346066360785,4.794166713953019,4.794166713953019,4.786666552225749,-0.5112794084151591,0.5791519628513385,-0.5626666638851167,0.4959999976878365,1522856992.5,647410.217209268,4185674.3253437867,1522856992.5,2018-04-04 15:49:52.500,-0.48568604812841276,-0.7710516763213282,0.5589535124482308,0.8297461401619369,-0.004196067759769592,-0.0050292509301667065,-6.497437146136514,-1.3128945528146674
647410.4018516132,4185674.522764384,35.680966775223204,4.79850013057391,4.79850013057391,4.796333233515422,-0.5188186269425886,0.5789313728587303,-0.6270000092983246,0.4896666647990545,1522856992.5,647410.5864939584,4185674.720184981,1522856992.5,2018-04-04 15:49:52.500,-0.4839595071808486,-0.7695820961049128,0.5553952540785987,0.8272749008753059,-0.005588930157210528,-0.005667478109157131,-6.472577448831643,-1.3129179602154921
647410.7711363035,4185674.9176055775,36.22158748366599,4.801499992609023,4.801499992609023,4.801666577657064,-0.5235686270430984,0.6017647046587049,-0.5843333356380462,0.5163333314657211,1522856992.5,647410.9557786486,4185675.115026174,1522856992.5,2018-04-04 15:49:52.500,-0.48223296623789236,-0.7681125158919893,0.5518369957154787,0.8248036615923993,-0.0072996230373686966,-0.006429647970598695,-6.447717751540553,-1.312941367616181
647411.1404209938,4185675.3124467707,36.762208192289854,4.809166580438613,4.809166580438613,4.800166527430217,-0.5362764692675837,0.572215685739938,-0.5899999964237214,0.5906666657527287,1522856992.5,647411.325063339,4185675.5098673673,1522856992.5,2018-04-04 15:49:52.500,-0.48050642529501875,-0.7666429356790696,0.5482787373520684,0.822332422309168,-0.007426733829168253,-0.00646877451413308,-6.422858054242546,-1.312964775016857
647411.509705684,4185675.707287964,37.30282890091372,4.847499996423722,4.847499996423722,4.794666528701782,-0.5375225473144476,0.5549960773825647,-0.6323333373069763,0.5833333233992258,1522856992.5,647411.6943480292,4185675.904708561,1522856992.5,2018-04-04 15:49:52.500,-0.4787798843497172,-0.7651733554643981,0.5447204789858375,0.8198611830245615,-0.007358936378790801,-0.006420011302820577,-6.397998356948025,-1.31298818241762
647411.8789903744,4185676.102129158,37.843449609696634,4.849833319584528,4.849833319584528,4.832499901453653,-0.5239950958618932,0.5366519603998054,-0.62166668065389,0.623333336909612,1522856992.5,647412.0636327195,4185676.2995497547,1522856992.5,2018-04-04 15:49:52.500,-0.47705334340441574,-0.7637037752497267,0.5411622206196066,0.8173899437399549,-0.007291138928413418,-0.006371248091507908,-6.373138659653504,-1.313011589818383
647412.2482750646,4185676.496970352,38.38407031847953,4.806666602691013,4.806666602691013,4.836166620254517,-0.4973578433709984,0.5523431367768964,-0.5673333353996277,0.5609999905427296,1522856992.5,647412.4329174098,4185676.694390949,1522856992.5,2018-04-04 15:49:52.500,-0.47532680245685155,-0.7622341950333112,0.5376039622499746,0.8149187044533237,-0.007061474702813222,-0.006200718780073111,-6.348278962348633,-1.3130349972192077
647412.6175597551,4185676.8918115455,38.924691026922346,4.7953333755334215,4.7953333755334215,4.830833276112874,-0.5002647067995053,0.56656372445588,-0.5629999947547913,0.5826666611830392,1522856992.5,647412.8022021002,4185677.089232141,1522856992.5,2018-04-04 15:49:52.500,-0.47291532315402307,-0.7599857577702176,0.5342424632704647,0.8125889840515336,-0.0067615319200022145,-0.0059417626400108114,-6.3279082325246705,-1.3130393818734147
647412.9868444451,4185677.2866527373,39.46531173520609,4.786333312590917,4.786333312590917,4.825499852498372,-0.5192499986007524,0.5467352962587393,-0.5193333232402803,0.5360000184377034,1522856992.5,647413.1714867901,4185677.4840733344,1522856992.5,2018-04-04 15:49:52.500,-0.4702447443653779,-0.7574426933245312,0.5309553947094608,0.8103127976146614,-0.006256873375597952,-0.0054500201315326735,-6.309235595864044,-1.313036570575674
647413.3561291351,4185677.681493932,40.00593244417004,4.771666596333187,4.771666596333187,4.821499903996785,-0.503637252906608,0.542485297149771,-0.5306666665871939,0.5370000190734863,1522856992.5,647413.5407714803,4185677.878914529,1522856992.5,2018-04-04 15:49:52.500,-0.467729621571368,-0.7555140927421324,0.527378083946657,0.8084230242994946,-0.005752214829539942,-0.004958277621764845,-6.321048518566739,-1.3130628339499797
