"","Fish","TagID","Node_count","X_UTM","Y_UTM","Z_meter","Epoch_Sec","dt","uSecs"
"88","2",7245,6,647264.1,4185790.1,3,1521795415,2018-03-23 01:56:55,214130
"89","2",7245,3,647261.1,4185788.1,5,1521795430,2018-03-23 01:57:10,371175
"90","2",7245,3,647266.1,4185784.1,2,1521795475,2018-03-23 01:57:55,837509
"91","2",7245,4,647265.1,4185787.1,1,1521795506,2018-03-23 01:58:26,145539
"92","2",7245,4,647264.1,4185789.1,5,1521795516,2018-03-23 01:58:36,248703
"93","2",7245,3,647254.1,4185789.1,1,1521795531,2018-03-23 01:58:51,400995
"94","2",7245,3,647249.1,4185797.1,5,1521795576,2018-03-23 01:59:36,866240
"95","2",7245,3,647257.1,4185836.1,2,1521795627,2018-03-23 02:00:27,372286
"96","2",7245,3,647261.1,4185785.1,1,1521795662,2018-03-23 02:01:02,717968
"97","2",7245,4,647261.1,4185786.1,5,1521795667,2018-03-23 02:01:07,773473
"98","2",7245,5,647260.1,4185786.1,4,1521795672,2018-03-23 02:01:12,824821
"99","2",7245,3,647251.1,4185791.1,4,1521795723,2018-03-23 02:02:03,348651
"100","2",7245,5,647250.1,4185791.1,1,1521795728,2018-03-23 02:02:08,394439
"101","2",7245,3,647249.1,4185791.1,1,1521795733,2018-03-23 02:02:13,445255
"102","2",7245,4,647247.1,4185793.1,5,1521795743,2018-03-23 02:02:23,550163
"103","2",7245,3,647244.1,4185792.1,1,1521795748,2018-03-23 02:02:28,594864
"104","2",7245,3,647249.1,4185791.1,3,1521795768,2018-03-23 02:02:48,804577
"105","2",7245,4,647250.1,4185790.1,5,1521795778,2018-03-23 02:02:58,905060
"106","2",7245,4,647251.1,4185790.1,1,1521795783,2018-03-23 02:03:03,942925
"107","2",7245,3,647249.1,4185788.1,2,1521795789,2018-03-23 02:03:09,15070
"108","2",7245,3,647247.1,4185793.1,1,1521795809,2018-03-23 02:03:29,224790
"109","2",7245,3,647246.1,4185795.1,1,1521795824,2018-03-23 02:03:44,346161
"110","2",7245,4,647236.1,4185802.1,1,1521795884,2018-03-23 02:04:44,979901
"111","2",7245,3,647220.1,4185812.1,5,1521795970,2018-03-23 02:06:10,851229
"112","2",7245,3,647213.1,4185812.1,2,1521795991,2018-03-23 02:06:31,88107
"113","2",7245,3,647198.1,4185776.1,5,1521796082,2018-03-23 02:08:02,9992
"114","2",7245,3,647266.1,4185833.1,5,1521796218,2018-03-23 02:10:18,447240
"115","2",7245,3,647273.1,4185861.1,5,1521796258,2018-03-23 02:10:58,878859
"116","2",7245,3,647254.1,4185796.1,1,1521796380,2018-03-23 02:13:00,99756
"117","2",7245,4,647252.1,4185791.1,4,1521796390,2018-03-23 02:13:10,216462
"118","2",7245,5,647252.1,4185791.1,4,1521796395,2018-03-23 02:13:15,257549
"119","2",7245,4,647251.1,4185790.1,1,1521796400,2018-03-23 02:13:20,323038
"120","2",7245,3,647251.1,4185790.1,3,1521796410,2018-03-23 02:13:30,429466
"121","2",7245,3,647254.1,4185787.1,5,1521796425,2018-03-23 02:13:45,595336
"122","2",7245,3,647255.1,4185788.1,2,1521796430,2018-03-23 02:13:50,648087
"123","2",7245,6,647255.1,4185787.1,5,1521796445,2018-03-23 02:14:05,809732
"124","2",7245,3,647235.1,4185804.1,5,1521796637,2018-03-23 02:17:17,789654
"125","2",7245,5,647231.1,4185806.1,1,1521796668,2018-03-23 02:17:48,108280
"126","2",7245,3,647249.1,4185803.1,5,1521796829,2018-03-23 02:20:29,773442
"127","2",7245,3,647251.1,4185801.1,5,1521796844,2018-03-23 02:20:44,933715
"128","2",7245,4,647238.1,4185808.1,4,1521796920,2018-03-23 02:22:00,739364
"129","2",7245,3,647235.1,4185810.1,1,1521796935,2018-03-23 02:22:15,882026
"130","2",7245,4,647245.1,4185807.1,5,1521797062,2018-03-23 02:24:22,167201
"131","2",7245,4,647247.1,4185807.1,4,1521797067,2018-03-23 02:24:27,239045
"132","2",7245,3,647244.1,4185811.1,5,1521797097,2018-03-23 02:24:57,543224
"133","2",7245,3,647251.1,4185805.1,1,1521797137,2018-03-23 02:25:37,978074
"134","2",7245,4,647252.1,4185803.1,5,1521797148,2018-03-23 02:25:48,76482
"135","2",7245,3,647246.1,4185806.1,1,1521797213,2018-03-23 02:26:53,780298
"136","2",7245,4,647244.1,4185808.1,5,1521797223,2018-03-23 02:27:03,862046
"137","2",7245,3,647240.1,4185810.1,4,1521797244,2018-03-23 02:27:24,42460
"138","2",7245,3,647241.1,4185809.1,5,1521797304,2018-03-23 02:28:24,697274
"139","2",7245,3,647245.1,4185803.1,4,1521797329,2018-03-23 02:28:49,953953
"140","2",7245,3,647248.1,4185801.1,5,1521797350,2018-03-23 02:29:10,195658
"141","2",7245,3,647249.1,4185801.1,2,1521797355,2018-03-23 02:29:15,232495
"142","2",7245,3,647261.1,4185788.1,1,1521797426,2018-03-23 02:30:26,9264
"143","2",7245,3,647263.1,4185788.1,5,1521797441,2018-03-23 02:30:41,174346
"144","2",7245,4,647267.1,4185789.1,5,1521797446,2018-03-23 02:30:46,230064
"145","2",7245,3,647273.1,4185779.1,2,1521797572,2018-03-23 02:32:52,578446
"146","2",7245,3,647270.1,4185783.1,4,1521797582,2018-03-23 02:33:02,702681
"147","2",7245,3,647265.1,4185782.1,1,1521797612,2018-03-23 02:33:32,999667
"148","2",7245,4,647265.1,4185783.1,5,1521797618,2018-03-23 02:33:38,59360
"149","2",7245,3,647269.1,4185782.1,1,1521797769,2018-03-23 02:36:09,661707
"150","2",7245,4,647260.1,4185789.1,5,1521797820,2018-03-23 02:37:00,197962
"151","2",7245,3,647186.1,4185836.1,3,1521797936,2018-03-23 02:38:56,422947
"152","2",7245,3,647237.1,4185802.1,2,1521798239,2018-03-23 02:43:59,544608
"153","2",7245,3,647248.1,4185797.1,3,1521798315,2018-03-23 02:45:15,355585
"154","2",7245,3,647250.1,4185794.1,1,1521798325,2018-03-23 02:45:25,463899
"155","2",7245,3,647252.1,4185793.1,1,1521798340,2018-03-23 02:45:40,612882
"156","2",7245,4,647254.1,4185790.1,2,1521798345,2018-03-23 02:45:45,683390
"157","2",7245,3,647251.1,4185788.1,1,1521798350,2018-03-23 02:45:50,732818
"158","2",7245,5,647257.1,4185785.1,1,1521798370,2018-03-23 02:46:10,939826
"159","2",7245,3,647256.1,4185784.1,1,1521798375,2018-03-23 02:46:15,995050
"160","2",7245,3,647257.1,4185790.1,2,1521798386,2018-03-23 02:46:26,101880
"161","2",7245,4,647254.1,4185791.1,1,1521798396,2018-03-23 02:46:36,198262
"162","2",7245,3,647233.1,4185808.1,5,1521798603,2018-03-23 02:50:03,344694
"163","2",7245,3,647222.1,4185818.1,4,1521798800,2018-03-23 02:53:20,428338
"164","2",7245,5,647217.1,4185818.1,3,1521798820,2018-03-23 02:53:40,634811
"165","2",7245,3,647234.1,4185808.1,4,1521798906,2018-03-23 02:55:06,508351
"166","2",7245,3,647261.1,4185795.1,5,1521799037,2018-03-23 02:57:17,884290
"167","2",7245,3,647263.1,4185794.1,1,1521799063,2018-03-23 02:57:43,143882
"168","2",7245,4,647264.1,4185790.1,1,1521799078,2018-03-23 02:57:58,306219
"169","2",7245,4,647265.1,4185786.1,1,1521799108,2018-03-23 02:58:28,624772
"170","2",7245,4,647269.1,4185781.1,1,1521799149,2018-03-23 02:59:09,38109
"171","2",7245,3,647269.1,4185784.1,3,1521799204,2018-03-23 03:00:04,615587
"172","2",7245,3,647268.1,4185786.1,4,1521799224,2018-03-23 03:00:24,835136
"173","2",7245,3,647264.1,4185793.1,1,1521799265,2018-03-23 03:01:05,269940
"174","2",7245,3,647261.1,4185793.1,4,1521799285,2018-03-23 03:01:25,477503
"175","2",7245,4,647263.1,4185794.1,5,1521799290,2018-03-23 03:01:30,530359
"176","2",7245,3,647245.1,4185800.1,1,1521799346,2018-03-23 03:02:26,117765
"177","2",7245,5,647246.1,4185804.1,2,1521799361,2018-03-23 03:02:41,259423
"178","2",7245,3,647249.1,4185808.1,1,1521799386,2018-03-23 03:03:06,532583
"179","2",7245,3,647263.1,4185794.1,1,1521799426,2018-03-23 03:03:46,983887
"180","2",7245,3,647241.1,4185820.1,4,1521799487,2018-03-23 03:04:47,576509
"181","2",7245,5,647240.1,4185819.1,5,1521799492,2018-03-23 03:04:52,627689
"182","2",7245,3,647238.1,4185812.1,5,1521799522,2018-03-23 03:05:22,947658
"183","2",7245,3,647237.1,4185813.1,5,1521799528,2018-03-23 03:05:28,13183
"184","2",7245,3,647217.1,4185812.1,2,1521799563,2018-03-23 03:06:03,405207
"185","2",7245,3,647238.1,4185799.1,2,1521799618,2018-03-23 03:06:58,936681
"186","2",7245,3,647243.1,4185800.1,5,1521799664,2018-03-23 03:07:44,422511
"187","2",7245,3,647207.1,4185818.1,1,1521799800,2018-03-23 03:10:00,833674
"188","2",7245,5,647213.1,4185819.1,5,1521799805,2018-03-23 03:10:05,853202
"189","2",7245,3,647207.1,4185821.1,5,1521799831,2018-03-23 03:10:31,80782
"190","2",7245,3,647205.1,4185820.1,5,1521799851,2018-03-23 03:10:51,333239
"191","2",7245,3,647198.1,4185820.1,5,1521799856,2018-03-23 03:10:56,357793
"192","2",7245,4,647202.1,4185820.1,1,1521799876,2018-03-23 03:11:16,527121
"193","2",7245,3,647202.1,4185816.1,1,1521800002,2018-03-23 03:13:22,762381
"194","2",7245,3,647203.1,4185824.1,4,1521800255,2018-03-23 03:17:35,270299
"195","2",7245,3,647194.1,4185830.1,3,1521800285,2018-03-23 03:18:05,573459
"196","2",7245,3,647207.1,4185831.1,5,1521800295,2018-03-23 03:18:15,707366
"197","2",7245,4,647175.1,4185840.1,1,1521800361,2018-03-23 03:19:21,364291
"198","2",7245,3,647186.1,4185836.1,1,1521800371,2018-03-23 03:19:31,449795
"199","2",7245,3,647210.1,4185819.1,4,1521800558,2018-03-23 03:22:38,354553
"200","2",7245,3,647230.1,4185817.1,3,1521800699,2018-03-23 03:24:59,774123
